,Boston,Cambridge
0,311-service-requests,Inspectional-Services/Sanitary-Violations-105-CMR-590-000-/mh73-gj
1,911-daily-dispatch-count-by-agency,Planning/Development-Log-Current-Edition-Map/7tkb-6n
2,active-food-establishment-licenses,Traffic-Parking-and-Transportation/Cambridge-Parking-Tickets/vnxa-cuy
3,all-section-12-alcohol-licenses,Assessing/Assessing-Building-Information-FY2015/crnm-mw9n
4,analyze-boston-homepage-hero-images,Public-Safety/Police-Department-Crash-Data-Historical/ybny-g9
5,approved-building-permits,Public-Safety/Crash-Map-2010-2013/4tke-xhvq
6,approved-issued-building-permits,Budget-Finance/Budget-Salaries/ixg8-tyau
7,article80-projects-as-of-july-2016,Assessing/Cambridge-Property-Database-FY16-FY17/eey2-rv59
8,assessing-online,Traffic-Parking-and-Transportation/Hampshire-Street-at-Cardinal-Medeiros-Avenue-Count/gqic-86
9,beantown-solar-the-future-never-looked-so-bright,Assessing/Residential-Data-Report-FY2015/xiwh-f97k
10,big-belly-alerts-2014,Assessing/Cambridge-Parcel-Information-FY2014/m7ew-safu
11,big-belly-locations,Economic-Development/Life-Sciences-and-Technology-Listing/fv53-bvhy
12,boston-garbage-atlas-2014,Public-Safety/Crime-Reports/xuad-73uj
13,boston-jobs-policy-compliance-reports,Geographic-Information-GIS-/Hydrants/szvy-s7
14,boston-landmarks-commission-blc-historic-districts,Assessing/Condominium-Data-Report-FY2015/88at-7ucq
15,boston-landmarks-commission-blc-landmarks,Inspectional-Services/Housing-Code-Violations-105-CMR-410-000-/u8qu-4xy9
16,boston-maps-arcgis-online,Public-Safety/Police-Citations/gmq6-8
17,boston-neighborhoods,Assessing/Owner-Mailing-Addresses-and-Parcel-Location-Addres/biib-2
18,boston-neighborhood-shapefiles,Planning/2016-Land-Use-Data/dnyu-v8e9
19,boston-open-budget-project-phase-descriptions,Inspectional-Services/Board-of-Zoning-Appeal-Requests/urfm-usw
20,boston-police-department-fio,Inspectional-Services/Building-Permits-1-and-2-Family/52p4-36
21,boston-police-department-firearms-recovery-counts,Assessing/Commercial-Parcel-Data-FY2015/2sji-f9xu
