,Chicago,Evanston,Naperville,Cook County
0,Administration-Finance/Current-Employee-Names-Salaries-and-Position-Title/xzkq-xp2w,Community-Development/Building-Permits-BLDS-Standard/jbax-, Parking Lots\'a0,Finance-Administration/Sweetened-Beverage-Distributors-Registered-with-th/fk38-788
1,Public-Safety/Crimes-2001-to-present-Dashboard/5cd6-ry5,Evanston-Benchmarking-Covered-Building-List-2017/p2tc-9fk," Individual, detailed parking space data for downtown and commuter parking in Naperville.",erformance.cookcountyil.gov/dataset/Expenditure-Data/pbhp-wv9
2,Parks-Recreation/Beach-Weather-Stations-Automated-Sensors-2016-Humi/7edu-s3u7,Health-Human-Services/Food-Establishment-Violations/spu5-riv2, Parking Spaces\'a0,Public-Safety/ETSB-911-Monthly-Call-Volume-Data-Lens/b3hg-kx9e
3,Buildings/Building-Permits/ydr8-5enu,Health-Human-Services/Food-Establishment-Businesses-Visualization/t5js-x9v7," Individual, detailed parking space data for downtown and commuter parking in Naperville.",Public-Safety/ETSB-911-Monthly-Call-Volume-Timeline/rwb7-qdfx
4,Ethics/Lobbyist-Data-Historical-Lobbyist-Registry-2010/2ft4-4uik,Health-Human-Services/Food-Establishment-Businesses/vu4y-h82, Parking Garages\'a0,Public-Health/Public-Health-District-Boundaries/c7pv-dy44
5,Community-Economic-Development/Affordable-Rental-Housing-Developments/s6ha-,Community-Development/Column-Chart-of-2011-14-City-of-Evanston-Poverty-R/dmm7-emt2," Individual, detailed parking space data for downtown and commuter parking in Naperville.",Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-Of-/y8cm-qn5
6,Public-Safety/Crimes-2001-to-present/ijzp-q8t2,City-Manager-s-Office-Finance-/2016-Total-Compensation-for-City-Employees/qehy-v72q, Parking Lot Outline\'a0,Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-By-/qdgc-xj55
7,Community-Economic-Development/Business-Licenses-Current-Active/uupf-x98q,Food-Establishment-List-with-Current-Inspection-Sc/8d3z-q3c3, Naperville Parking Lots,Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-Of-/ngjf-wnd5
8,Public-Safety/Crimes-Map/dfnk-7re6,Health-Human-Services/Food-Establishment-Inspections/dj7x-d2cq, Street Signs\'a0,Finance-Administration/Budget-Fiscal-Year-2017-Adopted-Budget-Summary-By-/vshx-zwf9
9,Health-Human-Services/Food-Inspections/4ijn-s7e5,FY-2011-Total-Compensation-for-City-Employees/ykir-tpk6, This layer shows the location and types of street signs maintained by the City of Naperville.,Public-Health/Public-Health-Death-Table-Of-Contents/mk8j-7
10,Public-Safety/Police-Stations/z8bn-74gv,Community-Development/Divvy-Monthly-Metrics-June-2016-to-April-2017/88ex-7bq5, Street Sign Supports\'a0,Public-Health/Public-Health-District-Map/aprh-kj
11,Administration-Finance/Performance-Metrics-Streets-Sanitation-Graffiti-Re/qcfn-tiw7,Information-Technology-includes-maps-geospatial-da/Census-2010-Tracts/evc9-e5, This layer shows the location of street sign supports maintained by the City of Naperville.,Public-Health/Public-Health-Birth-Table-Of-Contents/5fic-88g7
12,Community-Economic-Development/Small-Business-Improvement-Fund-SBIF-Grant-Agreeme/jp7n-tgm,2005-2015-Greenhouse-Gas-Emissions/ekk2-dxc7, Garbage/Recycling Collection Areas\'a0,Finance-Administration/Freedom-Of-Information-Act-FOIA-Log-Offices-Under-/7aqq-ahcq
13,Buildings/Problem-Landlord-List-Map/dip3-ud6z,Health-Human-Services/Food-Establishment-List-with-Current-Inspection-Sc/26s8-qw, Snow Priority Cul-de-sacs\'a0,Public-Safety/ETSB-911-Monthly-Call-Volume/wirw-pp52
14,Transportation/CTA-Map-of-Fare-Media-Sales-Outlets-deprecated-Aug/pa8e-mhb,Public-Works/Sewer-Structures-Cleaned/pt9p-rnf8," Naperville has established a priority plowing system for its more than 1,500 miles of roadway so that the main traffic routes are plowed first.\'a0The goal is to clear all streets within\'a015 hours after snow stops falling; however, heavier snows often take longer to clear.\'a0Arterial and main streets are plowed in the first phase of snow removal; residential side streets, cul-de-sacs, alleys and dead ends are cleared in the second phase. Cul-de\'85",GIS-Maps/ccgismap-Cook-County-Municipalities/ivjc-4itr
15,Transportation/Chicago-Street-Names/i6bp-fvbx,Police/Visualization-of-Based-on-2017-Q1-Evanston-Police-/hvtx-2v87, Snow Priority Routes\'a0,GIS-Maps/ccgisdata-Cook-County-Warming-Centers/vjup-q5
16,Community-Economic-Development/City-Owned-Land-Inventory/aksk-kv,Information-Technology-includes-maps-geospatial-da/Trees/t43z-a6xq," Naperville has established a priority plowing system for its more than 1,500 miles of roadway so that the main traffic routes are plowed first.\'a0The goal is to clear all streets within\'a015 hours after snow stops falling; however, heavier snows often take longer to clear.\'a0Arterial and main streets are plowed in the first phase of snow removal; residential side streets, cul-de-sacs, alleys and dead ends are cleared in the second phase. Cul-de\'85",Property-Taxation/Treasurer-Scavenger-Tax-Sale-Data-Lens/ev3g-7pe5
17,Buildings/Building-Code-Scofflaw-List-Map/hgat-td99,City-Manager-s-Office-Finance-/FY-2013-Projected-Total-Compensation/tb9i-6eu7, Public Works Districts\'a0,Property-Taxation/Treasurer-Annual-Tax-Sale-Data-Lens/4k7b-7is7
18,Service-Requests/Potholes-Patched-Last-Seven-Days/xpdx-8ivx,Information-Technology-includes-maps-geospatial-da/Refuse-collection-days/ppvj-auyq, Shows the location of City contracted mowing sites around the city.,Property-Taxation/Treasurer-Scavenger-Tax-Sale/ydgz-vkr
19,Education/Libraries-Locations-Hours-and-Contact-Information/x8fc-8rcq,FY-2009-Total-Compensation-for-City-Employees/kf9a-z9rm, Herbicide Sites\'a0,Property-Taxation/Treasurer-Annual-Tax-Sale/55ju-2fs9
20,Buildings/Building-Violations/22u3-xen,City-Manager-s-Office-Finance-/FY-2012-Total-Compensation/g5hy-m, Shows the location of City contracted Herbicide locations throughout the city.,Finance-Administration/Procurement-Buying-Plan-Fiscal-Year-2017-Data-Lens/fzzz-dh5
21,Service-Requests/311-Service-Requests-Vacant-and-Abandoned-Building/7nii-7,2010-2014-Evanston-Employment-Rates/e99c-ia96, Street Light Cabling\'a0,Finance-Administration/Procurement-Buying-Plan-Fiscal-Year-2017/pads-xcm2
22,Facilities-Geographic-Boundaries/Boundaries-Community-Areas-current-/cauq-8yn6,FY2015-Projected-Employee-Compensation/c9mi-, City of Naperville Street Light Cabling,Finance-Administration/Early-Voting-Locations-2016-November-8-Presidentia/3jp5-q965
23,Community-Economic-Development/Public-Chauffeurs/97wa-y6,Information-Technology-includes-maps-geospatial-da/Overhead-Bridges/vis9-rzz, Street Light Controllers\'a0,et/Polling-Place-Locations-2016-November-8-Presidenti/w4sq-4597
24,Transportation/Towed-Vehicles/ygr5-vcb,Information-Technology-includes-maps-geospatial-da/Address-points/gwrt-zhmw, City of Naperville Street Light Controllers,GIS-Maps/ccgisdata-Municipal-Incorporation-Inventory/d8vx-7fm3
25,Public-Safety/Police-Stations-Map/gkur-vu,Public-Works/2015-Water-Main-Breaks/477h-zwd5, Street Light Handholes\'a0,Finance-Administration/Budget-Fiscal-Year-2017-Executive-Recommendation-C/rn9a-dra6
26,Community-Economic-Development/Business-Licenses/r5kz-,2006-2015-City-of-Evanston-Rates-of-Income-Inequal/7czm-sum, City of Naperville Street Light handholes,Finance-Administration/Budget-Fiscal-Year-2017-Executive-Recommendation-B/fwar-bpxm
27,Health-Human-Services/Census-Data-Selected-socioeconomic-indicators-in-C/kn9c-c2s2,Class-Data-With-Locations-2016-1/q6rw-pdh7, Street Light Junction Boxes\'a0,Finance-Administration/Budget-Fiscal-Year-2017-Executive-Recommendation-B/me7n-
28,Public-Safety/Fire-Stations/28km-gtjn,Health-Human-Services/2016-Evanston-Health-Outcomes-And-Behaviors-Rankin/u576-pb3, City of Naperville Street Light Junction Boxes,et/Area-Animal-Shelters-Map/t86e-hv9w
29,Health-Human-Services/Senior-Centers/qhfc-4cw2,Information-Technology-includes-maps-geospatial-da/Building-footprints/xccc-6yu, Street Light Poles\'a0,et/Animal-Control-Area-Animal-Shelters/kvq5-4e
30,Transportation/Public-Right-of-Way-Use-Permits-Historical/hwmb-iu8j,Information-Technology-includes-maps-geospatial-da/Parks/3659-v5z, City of Naperville Street Light Poles,Finance-Administration/Procurement-Bid-Tabulations-Print-View/kakc-gwpr
31,Service-Requests/311-Service-Requests-Graffiti-Removal/hec5-y4x5,Information-Technology-includes-maps-geospatial-da/Census-2010-Block-Groups/j2ic-9rd3, Will County Open Data Portal\'a0,Finance-Administration/Human-Resources-Collective-Bargaining-Agreements/8tar-cztq
32,Public-Safety/Fire-Stations-Map/hp65-bcxv,Information-Technology-includes-maps-geospatial-da/Water-bodies/n4ji-pad5, DuPage County Open Data Portal\'a0,GIS-Maps/ccgisdata-Tax-Increment-Financing-TIF-Districts-20/si4i-nr
33,Public-Safety/Crimes-One-year-prior-to-present/x2n5-8w5q,Information-Technology-includes-maps-geospatial-da/Zoning-Districts/72fa-9g7m, rms.dbo.%vw MappingDailyBulletin\'a0,GIS-Maps/ccgisdata-Right-Of-Way-2015/ncd7-awz3
34,Public-Safety/Sex-Offenders/vc9r-bqv,Community-Development/2011-14-City-of-Evanston-Rates-of-Poverty-Reductio/j8vj-zci4, Shows the location of City contracted mowing sites around the city.,GIS-Maps/ccgisdata-Lot-2015/wwzc-wm
35,Administration-Finance/Payments/s4vu-giwb,Police/Visualization-of-2017-Q1-Evanston-Police-Departmen/qhy5-hx7w, Herbicide Sites\'a0,GIS-Maps/ccgisdata-Parcel-2015/nxb6-rw3
36,Public-Safety/Crimes-2015/vwwp-7yr9,Information-Technology-includes-maps-geospatial-da/Problem-Solving-Team-PST-beats/yggx-ey4x, Shows the location of City contracted Herbicide locations throughout the city.,Finance-Administration/Inspector-General-Employment-Plan-Officer-Semi-Ann/yjv5-k6f
37,Public-Safety/Crimes-2001-to-present-Map/c4ep-ee5m,Information-Technology-includes-maps-geospatial-da/Bicycle-routes-lanes-and-paths/hv4b-x3, Street Light Cabling\'a0,et/Inspector-General-Employment-Quarterly-Action-Repo/u6q5-2
38,Transportation/CTA-System-Information-Map-Showing-Bus-Stop-Shelte/mw4h-s8xu,Information-Technology-includes-maps-geospatial-da/Driveway-edges/k38c-xz4, City of Naperville Street Light Cabling,et/Cook-County-Cooling-Centers-Map/dnn9-esge
