,Minneapolis,St. Paul,Hennepin
0,"311-incidents-2012""",Buildings-Housing-Economic-Development/Vacant-Buildings-Map/rfbb-x7z, Wetland Inventory
1,"planning-overlay-districts""",Public-Safety/Traffic-Stop-Vehicle-Stops-by-Race-and-Year/tt58-98fx, Priority Natural Resource Corridors
2,"air-quality-survey""",Public-Safety/Crime-Incident-Report-Dataset/gppb-g9c, Minnesota Land Cover Classification System (MLCCS)
3,"snow-emergency-jane-tows-2017""",Buildings-Housing-Economic-Development/Approved-Building-Permits-Dataset/j8ip-eytd, Hazardous Waste Generators
4,"community-corridors""",City-Infrastructure/Resident-Service-Requests-Dataset/3w6i-nfpw, 2010 Census Tracts
5,"snow-emergency-ferry-tags-2016""",City-Administration/Adopted-Budget-Expenses-Dataset/5p8m-tvzy, 2010 Census Cities
6,"311-incidents-2015""",City-Administration/Adopted-Budget-Revenue-Dataset/hgx3-a7e, 2010 Census Blocks
7,"police-incidents-2013""",Buildings-Housing-Economic-Development/Approved-Building-Permits-Map/pesd-bwp3, 2010 Census Block Groups
8,"police-incidents-2017""",City-Administration/Adopted-Budget-Expenses-2014-Filtered-View/3cmp-cbw8, Hennepin County Park Contacts
9,"311-incidents-2013""",Buildings-Housing-Economic-Development/Vacant-Buildings-Dataset/fgbn-288b, Minnesota Hospitals
10,"great-streets-eligible-areas""",City-Administration/Adopted-Budget-Expenses-2016-Filtered-View/rpuw-vc8, Mini Farmers Markets
11,"311-incidents-2013""",City-Administration/Adopted-Budget-Revenue-2015-Filtered-View/cysd-iyj, HSPHD Regions
12,"police-incidents-2014""",City-Administration/Adopted-Budget-Expenses-2015-Filtered-View/d2uy-fh56, Park Districts
13,"snow-emergency-dana-tags-2016""",City-Administration/Adopted-Capital-Improvement-Budgets-by-Year-and-Se/bc8i-ijs9, PLS Points
14,"minneapolis-police-precincts""",City-Administration/Adopted-Capital-Improvement-Budgets-Dataset/c6jd-rw, Police Stations
15,"transit-stations""",City-Administration/Adopted-Budget-Expenses-2017-Filtered-View/5d9j-w9, Homeless Shelters
16,"fires-reported-2013""",City-Administration/Adopted-Budget-Revenue-2017-Filtered-View/kg9k-z, Tax Watershed Districts
17,"fires-reported-2015""",City-Administration/Adopted-Budget-Revenue-2014-Filtered-View/a838-7ix8, HCMC Clinics
18,"fires-confirmed-2012""",City-Administration/HUD-Section-3-Business-List/kz7x-sb, Soil and Water Districts
19,"assessor-building-characteristics-2016""",City-Administration/Adopted-Budget-Revenue-2016-Filtered-View/asak-5xxe, Commissioner Districts
20,"assessor-building-characteristics-2017""",City-Infrastructure/Resident-Service-Requests-Map/4int-x3j2, MetroGIS Parcels
21,"tree-inventory""",Public-Safety/Crime-Incident-Report-By-Neighborhood/v5dr-, Address Points
22,"fires-reported-2013""",City-Infrastructure/Parks-Graffiti-Report-Dataset/gcu2-spkd, Hennepin County Facilities
23,"fires-reported-2015""",Public-Safety/Traffic-Stop-Dataset/kkd6-, County Parcels
24,"fires-reported-2012""",City-Infrastructure/Parks-Graffiti-Removal-2013-to-2015-Map/h98g-5r7, Hennepin County Boundary
