"Wyandotte County and Kansas City"
"Annual Expenditures - Departments"
"Download generated on 06/23/2017"

"Funds Filter","Debt Service","Fiduciary (Trust/Agency)","Annual Appropriations","City - General Fund","County - General","Multi-Purpose Center Operation","Parks and Recreation","Proprietary (Enterprise)","Special Revenue"

"Departments","SubDepartment","2005 Actual","2006 Actual","2007 Actual","2008 Actual","2009 Actual","2010 Actual","2011 Actual","2012 Actual","2013 Actual","2014 Actual","2015 Actual","2016 Budget","2016 Amended Budget","2017 Budget"
"Mayor and Commission","","678,530","648,777","686,532","715,913","649,441","631,157","663,286","675,971","785,123","703,730","817,978","787,792","876,110","908,919"
"Administration","","18,578,342","20,229,521","23,063,405","23,345,995","20,441,079","19,251,751","19,319,639","19,427,805","20,925,832","20,517,848","20,058,394","21,851,073","22,530,306","23,626,290"
"Administration","General Services","1,189,342","1,320,515","1,608,360","1,645,068","1,451,220","1,425,857","1,716,502","1,386,513","1,545,817","1,577,782","1,505,528","1,902,754","1,913,557","2,160,337"
"Administration","Unified Government Clerk","1,358,800","1,376,091","1,421,378","1,379,369","1,384,218","1,282,002","1,212,710","995,421","1,020,973","979,791","1,037,377","1,048,823","1,179,977","1,222,115"
"Administration","Department of Appraiser","2,403,706","2,388,897","3,522,335","2,401,661","2,186,082","2,004,802","2,050,362","2,115,786","2,282,104","2,230,611","2,089,226","2,312,464","2,369,308","2,468,591"
"Administration","Contract Compliance Department","49,395","51,370","654,662","568,274","498,906","260,090","0","297,124","243,231","165,551","172,209","0","0","0"
"Administration","County Administration Dept","1,010,360","1,044,889","1,144,923","1,450,161","1,349,292","1,283,581","1,348,557","1,370,451","1,617,607","2,060,579","1,582,776","1,687,762","1,675,307","1,827,484"
"Administration","Finance Department","3,644,536","4,231,235","4,201,038","4,238,631","4,252,182","4,502,111","4,801,467","4,269,333","4,657,897","4,526,903","4,550,501","4,781,596","4,808,843","4,933,263"
"Administration","Human Resources Department","966,982","1,015,668","1,086,422","1,052,750","904,855","851,889","823,011","871,513","912,713","1,059,671","1,056,633","1,205,525","1,240,286","1,279,894"
"Administration","Unified Legal Department","2,151,955","2,254,885","2,408,134","2,791,602","2,780,851","2,516,597","2,309,427","2,906,265","3,340,072","2,518,554","2,519,852","3,000,193","3,297,550","3,129,641"
"Administration","Legislative Auditor","570,610","605,631","686,931","761,045","678,166","574,211","582,391","570,412","604,293","620,694","575,999","602,996","629,474","645,869"
"Administration","Operations Business Office","214,074","186,875","203,958","158,367","122,447","132,284","135,427","136,189","140,297","142,114","141,499","132,237","149,748","157,735"
"Administration","Chief Knowledge Office","5,018,582","5,753,465","6,125,264","6,899,067","4,832,860","4,418,327","4,339,785","4,508,798","4,560,828","4,635,598","4,826,794","5,176,723","5,266,256","5,801,361"
"Public Safety","","91,421,799","98,602,144","104,969,846","110,547,468","112,209,608","112,490,557","114,967,888","119,729,140","126,628,165","130,295,205","129,069,926","127,632,034","131,495,238","136,987,540"
"Judicial Services","","7,189,603","7,714,816","8,325,202","8,545,737","7,949,905","7,557,777","7,609,667","7,984,948","8,035,603","8,367,893","8,295,055","9,507,859","9,796,109","10,065,578"
"Judicial Services","District Attorney","3,161,805","3,476,002","3,800,092","4,079,390","3,808,152","3,607,969","3,745,417","3,755,477","3,777,799","4,094,253","4,182,483","4,643,942","4,748,053","4,936,231"
"Judicial Services","District Courts","1,852,435","1,905,920","2,020,674","1,887,323","1,777,077","1,682,653","1,586,828","1,710,390","1,884,375","1,767,190","1,647,998","2,083,269","2,253,053","2,281,030"
"Judicial Services","Law Library","28,505","30,876","32,672","33,392","34,451","26,913","0","27,000","27,000","27,000","27,000","27,000","27,000","27,000"
"Judicial Services","Municipal Court Dept","1,128,541","1,321,035","1,422,018","1,458,152","1,328,898","1,330,954","1,357,331","1,534,920","1,348,962","1,417,510","1,505,717","1,548,632","1,563,912","1,605,666"
"Judicial Services","Court Trustees","375,763","334,453","367,228","417,571","377,279","362,107","359,696","390,441","392,971","454,058","378,480","551,025","580,629","579,004"
"Judicial Services","Process Servers","642,554","646,530","682,518","669,909","624,048","547,181","560,395","566,720","604,496","607,882","553,377","653,991","623,462","636,647"
"Community Services","","24,763,484","29,452,427","29,982,581","34,041,536","31,665,708","29,255,580","27,695,809","28,391,630","29,810,886","36,303,923","35,314,602","39,031,998","45,097,029","44,158,715"
"Community Services","Special Assets","0","0","0","0","0","0","0","0","0","0","1,995,968","3,750,000","4,950,000","3,750,000"
"Community Services","Department of Aging","514,226","428,582","535,113","534,975","490,813","301,804","298,178","303,171","328,460","303,906","323,796","349,149","391,308","441,777"
"Community Services","Community Programs","4,878,682","6,709,293","5,483,899","6,997,485","7,779,892","7,160,018","6,302,583","6,246,030","6,247,226","12,417,701","9,463,423","8,121,554","12,287,894","10,536,788"
"Community Services","Wyandotte County Coroner","198,893","225,152","271,335","273,885","275,769","255,331","326,617","307,957","322,484","324,508","383,085","326,639","306,023","311,141"
"Community Services","Economic Development","0","0","0","0","355,408","99,364","92,559","296,210","307,525","432,720","500,336","637,688","816,748","917,769"
"Community Services","Department of Development","0","293","0","0","0","0","0","0","0","0","51","0","0","0"
"Community Services","Housing & Urban Development","365,773","399,940","526,552","470,137","207,369","285,588","157,500","165,000","180,000","0","0","0","0","0"
"Community Services","Election Department","886,850","1,239,072","1,107,921","1,295,479","916,635","1,135,173","967,619","1,068,398","1,104,329","1,175,774","976,343","1,502,104","1,435,839","1,398,122"
"Community Services","Health Department","2,856,215","2,658,884","3,045,405","3,007,450","3,131,005","3,189,437","3,088,682","3,201,144","3,091,566","3,038,920","2,920,690","3,328,773","3,333,016","3,452,285"
"Community Services","Historical Museum","200,713","221,496","245,223","231,636","237,440","156,179","167,533","163,624","173,782","172,240","174,338","174,638","177,995","184,256"
"Community Services","Human Services Department","802,084","902,406","876,898","845,806","831,237","566,204","597,824","508,687","430,883","577,531","437,858","620,551","591,907","681,345"
"Community Services","Mental Health","559,000","636,950","636,950","602,219","565,867","565,867","453,867","508,331","533,331","538,331","528,331","540,000","540,000","790,000"
"Community Services","Neighborhood Resource Center","2,662,531","3,600,071","3,216,957","3,389,214","3,225,862","3,297,974","3,650,217","3,545,117","4,045,046","4,360,374","4,258,770","4,751,758","4,757,286","4,967,733"
"Community Services","Parks & Recreation Department","6,620,183","7,106,325","8,259,052","9,271,698","7,802,549","6,913,642","6,043,123","6,293,541","6,725,185","6,361,082","6,619,359","7,698,814","7,893,752","8,242,251"
"Community Services","Register of Deeds","504,870","1,097,190","659,063","1,396,023","653,174","465,975","497,410","486,071","597,266","544,377","563,104","615,448","665,127","700,670"
"Community Services","Transit","3,044,995","3,270,071","4,120,863","4,434,226","4,428,024","4,232,206","4,368,880","4,619,583","4,957,153","5,262,811","5,416,408","5,735,478","5,943,845","6,356,632"
"Community Services","Urban Planning & Land Use","522,403","801,680","813,388","973,495","760,551","630,818","683,217","678,766","766,650","791,184","752,742","879,404","1,006,289","1,427,946"
"Community Services","Constituent and Org. Develop.","146,066","155,022","183,962","317,808","4,113","0","0","0","0","2,464","0","0","0","0"
"Public Works","","43,347,928","46,545,906","44,859,160","48,089,754","47,895,188","46,862,774","49,832,330","53,617,177","56,248,278","54,725,297","58,566,366","66,816,282","67,024,036","72,931,849"
"Public Works","Public Works","43,347,928","46,545,906","44,859,160","48,089,754","47,895,188","46,862,774","49,832,330","53,617,177","56,248,278","54,725,297","58,024,193","66,516,282","66,358,491","72,013,679"
"Public Works","Building Logistics Department","0","0","0","0","0","0","0","0","0","0","0","0","83,700","0"
"Public Works","Stadium T-Bones","0","0","0","0","0","0","0","0","0","0","542,173","300,000","581,000","451,000"
"Public Works","Description Pending","0","0","0","0","0","0","0","0","0","0","0","0","845","467,170"
"Other Programs","","1,760,497","1,902,540","2,179,752","2,449,891","2,317,775","1,999,627","1,736,385","1,871,942","2,023,210","2,064,444","2,145,471","2,224,223","2,291,674","2,640,091"
"Other Programs","Extension Council","359,180","383,139","450,665","431,166","388,050","388,050","355,050","388,050","438,050","478,050","478,050","478,050","478,050","528,750"
"Other Programs","Soil Conservation","52,815","55,456","57,674","68,964","53,495","42,771","42,772","42,771","42,771","42,771","42,771","42,771","45,000","45,000"
"Other Programs","County Fair","180,300","189,315","196,888","226,888","1,088","154,398","15,904","99,726","97,899","98,639","99,273","125,000","125,000","125,000"
"Other Programs","Special Community Grants","629,892","667,664","928,995","1,072,873","1,115,851","749,408","685,159","733,895","756,615","775,215","759,491","839,982","838,672","891,341"
"Other Programs","Convention & Visitor's Bureau","538,310","606,966","545,530","650,000","759,291","665,000","637,500","607,500","687,875","669,769","765,886","738,420","804,952","1,050,000"

"Total","","187,740,183","205,096,131","214,066,478","227,736,294","223,128,704","218,049,223","221,825,004","231,698,613","244,457,097","252,978,340","254,267,792","267,851,261","279,110,502","291,318,982"
